iter	Passed	Remaining
0	41	41927
1	78	39412
2	117	39018
3	159	39741
4	202	40281
5	244	40474
6	283	40159
7	322	39937
8	367	40450
9	403	39939
10	444	39982
11	491	40433
12	536	40703
13	582	41017
14	627	41183
15	675	41562
16	718	41536
17	760	41464
18	802	41444
19	847	41539
20	896	41797
21	944	41979
22	986	41907
23	1030	41886
24	1077	42029
25	1117	41848
26	1159	41789
27	1203	41771
28	1242	41612
29	1285	41574
30	1331	41613
31	1367	41377
32	1412	41391
33	1455	41355
34	1492	41161
35	1541	41266
36	1587	41305
37	1635	41414
38	1688	41605
39	1740	41760
40	1777	41584
41	1827	41692
42	1870	41620
43	1919	41709
44	1963	41662
45	2013	41765
46	2052	41626
47	2099	41638
48	2139	41529
49	2187	41558
50	2227	41442
51	2269	41370
52	2311	41298
53	2352	41204
54	2397	41192
55	2441	41157
56	2485	41122
57	2530	41102
58	2574	41063
59	2616	40993
60	2655	40873
61	2696	40793
62	2738	40727
63	2774	40578
64	2820	40578
65	2861	40494
66	2904	40447
67	2949	40420
68	2989	40335
69	3036	40336
70	3075	40245
71	3114	40139
72	3149	40000
73	3184	39847
74	3219	39706
75	3260	39640
76	3297	39523
77	3337	39453
78	3377	39370
79	3423	39367
80	3467	39335
81	3510	39300
82	3545	39174
83	3583	39072
84	3620	38977
85	3659	38895
86	3700	38832
87	3745	38818
88	3786	38760
89	3822	38646
90	3860	38566
91	3903	38528
92	3940	38430
93	3982	38387
94	4023	38324
95	4067	38305
96	4112	38280
97	4163	38321
98	4208	38305
99	4250	38256
100	4288	38174
101	4327	38102
102	4371	38067
103	4406	37965
104	4443	37875
105	4481	37794
106	4515	37683
107	4553	37608
108	4593	37551
109	4630	37462
110	4673	37427
111	4709	37342
112	4746	37261
113	4787	37208
114	4826	37141
115	4871	37124
116	4911	37069
117	4951	37007
118	4986	36919
119	5021	36823
120	5057	36739
121	5095	36672
122	5134	36612
123	5169	36521
124	5205	36441
125	5243	36372
126	5281	36305
127	5321	36255
128	5360	36194
129	5400	36144
130	5438	36077
131	5477	36016
132	5515	35952
133	5551	35880
134	5592	35834
135	5630	35769
136	5663	35673
137	5702	35620
138	5741	35566
139	5777	35490
140	5815	35426
141	5855	35380
142	5889	35298
143	5923	35209
144	5962	35156
145	6005	35128
146	6044	35074
147	6089	35057
148	6135	35041
149	6172	34978
150	6216	34952
151	6252	34883
152	6290	34824
153	6328	34765
154	6371	34736
155	6417	34718
156	6464	34712
157	6506	34674
158	6545	34623
159	6586	34578
160	6627	34535
161	6673	34519
162	6711	34465
163	6748	34398
164	6783	34328
165	6819	34260
166	6854	34190
167	6898	34161
168	6940	34128
169	6977	34067
170	7015	34012
171	7052	33950
172	7094	33914
173	7133	33862
174	7167	33791
175	7204	33731
176	7244	33685
177	7282	33628
178	7319	33572
179	7358	33521
180	7403	33498
181	7466	33558
182	7519	33570
183	7558	33519
184	7596	33464
185	7632	33400
186	7677	33379
187	7713	33316
188	7749	33251
189	7790	33213
190	7826	33149
191	7864	33094
192	7898	33025
193	7937	32978
194	7978	32936
195	8013	32873
196	8057	32842
197	8095	32789
198	8134	32742
199	8169	32678
200	8206	32622
201	8240	32552
202	8277	32500
203	8314	32444
204	8359	32416
205	8395	32359
206	8433	32309
207	8470	32251
208	8509	32205
209	8549	32160
210	8587	32109
211	8622	32051
212	8665	32017
213	8706	31978
214	8753	31960
215	8794	31921
216	8830	31862
217	8866	31804
218	8915	31793
219	8956	31755
220	8996	31712
221	9038	31675
222	9071	31606
223	9109	31559
224	9143	31495
225	9180	31441
226	9223	31408
227	9260	31354
228	9302	31320
229	9339	31266
230	9372	31201
231	9408	31145
232	9448	31101
233	9483	31043
234	9520	30993
235	9561	30954
236	9595	30891
237	9628	30827
238	9665	30775
239	9704	30730
240	9746	30694
241	9781	30636
242	9821	30597
243	9861	30553
244	9899	30506
245	9938	30460
246	9976	30414
247	10011	30358
248	10047	30304
249	10082	30248
250	10118	30192
251	10158	30153
252	10196	30104
253	10232	30053
254	10270	30007
255	10308	29959
256	10349	29921
257	10383	29862
258	10422	29819
259	10461	29773
260	10502	29737
261	10542	29695
262	10579	29645
263	10623	29617
264	10670	29594
265	10716	29570
266	10762	29546
267	10804	29509
268	10848	29480
269	10886	29433
270	10942	29436
271	10992	29422
272	11038	29395
273	11084	29369
274	11130	29344
275	11176	29317
276	11218	29280
277	11261	29248
278	11303	29210
279	11345	29173
280	11388	29139
281	11433	29111
282	11474	29070
283	11514	29030
284	11557	28995
285	11594	28945
286	11631	28895
287	11671	28854
288	11707	28803
289	11748	28763
290	11781	28704
291	11818	28655
292	11866	28633
293	11910	28600
294	11946	28550
295	11982	28499
296	12018	28448
297	12059	28409
298	12100	28369
299	12144	28336
300	12179	28283
301	12224	28254
302	12263	28209
303	12303	28168
304	12342	28125
305	12380	28078
306	12419	28035
307	12453	27979
308	12493	27938
309	12535	27902
310	12576	27861
311	12615	27818
312	12657	27782
313	12695	27734
314	12731	27686
315	12771	27644
316	12808	27597
317	12845	27549
318	12880	27496
319	12925	27467
320	12966	27427
321	13005	27384
322	13044	27341
323	13085	27302
324	13122	27253
325	13162	27213
326	13203	27174
327	13248	27144
328	13289	27104
329	13334	27072
330	13377	27037
331	13421	27004
332	13460	26960
333	13499	26918
334	13539	26877
335	13586	26849
336	13625	26806
